MD_ID,ID_stats,number_arm,Trial_Reg_No,Prospective_Registr,Full_text_link,name_study,First_author,Journal_abbrv,Year,Type_publication,Pub_date_online,Blinding,Start_date,Center,Funding,Fund_Source,Research_question,Countries,Treatment_control,stats_name,n_Randomized,n_Analyzed_,All_cause_mortality_events_D28,mortality_d28_N,mort_D28_TP,Definition_of_clinical_improvement,Clinical_improvement_D28_n,clinic_imp_d28_N,clin_imp_D28_TP,SCORE_7_and_above_D28,score7_d28_N,score7_D28_TP,Total_AE,Serious_AE,safety_N,Safety_timepoint,ROB_6_for_website,Blind,Fund,Sample_size,HIC_LIC,Comment_HIC_LIC,CAF_mort,CAF_CI,CAF_WHO7,CAF_AE,CAF_SAE,Same_analysis,What_changed,new_outcome,del_outcome,unchanged,change_events,Status
9_preprint,9,2,NCT04323527,No,https://www.medrxiv.org/content/10.1101/2020.04.07.20056424v2,*,Borba MGS,medRxiv,2020,preprint,4/16/2020,Double blinded,3/23/2020,Single,Public/non profit ,"Government of the Amazonas State, Farmanguinhos (Fiocruz), Superintende?ncia da Zona Franca de Manaus, Coordination for the Improvement of Higher Education Personnel, Fundac?a?o de Amparo a? Pesquisa do Estado do Amazonas, and federal funds facilitat",Severe/Critical,Brazil,Treatment,Chloroquine 450mg,40,40,6,*,*,*,*,*,*,*,*,*,*,*,*,*,Low,blinded,Other,81,LIC_MIC,,,,,,,,,,,,,consistent
9_preprint,9,2,NCT04323527,No,https://www.medrxiv.org/content/10.1101/2020.04.07.20056424v2,*,Borba MGS,medRxiv,2020,preprint,4/16/2020,Double blinded,3/23/2020,Single,Public/non profit ,"Government of the Amazonas State, Farmanguinhos (Fiocruz), Superintende?ncia da Zona Franca de Manaus, Coordination for the Improvement of Higher Education Personnel, Fundac?a?o de Amparo a? Pesquisa do Estado do Amazonas, and federal funds facilitat",Severe/Critical,Brazil,Control,Chloroquine 600mg,41,41,16,*,*,*,*,*,*,*,*,*,*,*,*,*,Low,blinded,Other,81,LIC_MIC,,,,,,,,,,,,,consistent
9_pub,9,2,NCT04323527,No,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2765270,*,Borba MGS,JAMA Netw Open,2020,published paper,4/24/2020,Participants and health care provider,3/23/2020,Single,Public/non profit,"Government of the Amazonas State, Farmanguinhos (Fiocruz), Superintendencia da Zona Franca de Manaus, Coordination for the Improvement of Higher Education Personnel, Fundacao de Amparo a Pesquisa do Estado do Amazonas, and federal funds",Severe/Critical,Brazil,Treatment,Chloroquine 450mg,40,40,6,*,13,*,*,*,*,*,*,*,*,*,*,*,Low,blinded,Other,81,LIC_MIC,,,,,,,,,,,,,consistent
9_pub,9,1,NCT04323527,No,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2765270,*,Borba MGS,JAMA Netw Open,2020,published paper,4/24/2020,Participants and health care provider,3/23/2020,Single,Public/non profit,"Government of the Amazonas State, Farmanguinhos (Fiocruz), Superintendencia da Zona Franca de Manaus, Coordination for the Improvement of Higher Education Personnel, Fundacao de Amparo a Pesquisa do Estado do Amazonas, and federal funds",Severe/Critical,Brazil,Control,Chloroquine 600mg,41,41,16,*,13,*,*,*,*,*,*,*,*,*,*,*,Low,blinded,Other,81,LIC_MIC,,,,,,,,,,,,,consistent
11_preprint,11,2,ChiCTR2000029868,No,https://www.medrxiv.org/content/10.1101/2020.04.10.20060558v1,*,Tang W,medRxiv,2020,preprint,4/14/2020,Unblinded,2/11/2020,Multicenter,Mixed,"Funding: This work was supported by the Emergent Projects of
National Science and Technology (2020YFC0844500), National
Natural Science Foundation of China (81970020, 81770025),
National Key Research and Development Program of China
(2016YFC0901104),",Mild to severe,China,Treatment,Hydroxychloroquine,75,75,*,*,*,*,*,*,*,*,*,*,21,2,*,*,Some concerns,unblinded,Industry_Mixed,150,LIC_MIC,,Y,,Y,,,,,,,,,add_delete
11_preprint,11,2,ChiCTR2000029868,No,https://www.medrxiv.org/content/10.1101/2020.04.10.20060558v1,*,Tang W,medRxiv,2020,preprint,4/14/2020,Unblinded,2/11/2020,Multicenter,Mixed,"Funding: This work was supported by the Emergent Projects of
National Science and Technology (2020YFC0844500), National
Natural Science Foundation of China (81970020, 81770025),
National Key Research and Development Program of China
(2016YFC0901104),",Mild to severe,China,Control,Standard care,75,75,*,*,*,*,*,*,*,*,*,*,7,0,*,*,Some concerns,unblinded,Industry_Mixed,150,LIC_MIC,,Y,,Y,,,,,,,,,add_delete
11_pub,11,1,ChiCTR2000029868,No,https://www.bmj.com/content/369/bmj.m1849,*,Tang W,BMJ,2020,published paper,5/14/2020,Unblinded,2/11/2020,Multicenter,Mixed,Emergent Projects of National Science and Technology; National Natural Science Foundation of China; National Key Research and Development Program of China; Shanghai Municipal Key Clinical Specialty; National Innovative Research Team of High-level Loc,Mild to severe,China,Treatment,Hydroxychloroquine,75,75,0,*,28,*,*,*,*,0,*,28,21,2,*,33,Some concerns,unblinded,Industry_Mixed,150,LIC_MIC,,Y,,Y,,,,,,,,,add_delete
11_pub,11,2,ChiCTR2000029868,No,https://www.bmj.com/content/369/bmj.m1849,*,Tang W,BMJ,2020,published paper,5/14/2020,Unblinded,2/11/2020,Multicenter,Mixed,Emergent Projects of National Science and Technology; National Natural Science Foundation of China; National Key Research and Development Program of China; Shanghai Municipal Key Clinical Specialty; National Innovative Research Team of High-level Loc,Mild to severe,China,Control,Standard care,75,75,0,*,28,*,*,*,*,0,*,28,7,0,*,33,Some concerns,unblinded,Industry_Mixed,150,LIC_MIC,,Y,,Y,,,,,,,,,add_delete
13_preprint,13,3,ChiCTR2000029496,No,https://www.medrxiv.org/content/10.1101/2020.04.24.20077735v1,*,Zheng F,medRxiv,2020,preprint,4/29/2020,Unblinded,2/1/2020,Single,Public/non profit ,"National Science and Technology Major Project (2017ZX10202201, 2017ZX10202203), the National Key Research and Development Program of China (Nos. 2016YFD0500301), and Specialized Science and Technology Project of Hunan Province (2020SK3013)",Moderate/severe,China,Treatment,Novaferon+LPV/r,30,30,0,*,*,*,*,*,*,0,*,*,*,0,*,*,Some concerns,unblinded,Other,89,LIC_MIC,,,,,,,,,,,,,add_delete
13_preprint,13,3,ChiCTR2000029496,No,https://www.medrxiv.org/content/10.1101/2020.04.24.20077735v1,*,Zheng F,medRxiv,2020,preprint,4/29/2020,Unblinded,2/1/2020,Single,Public/non profit ,"National Science and Technology Major Project (2017ZX10202201, 2017ZX10202203), the National Key Research and Development Program of China (Nos. 2016YFD0500301), and Specialized Science and Technology Project of Hunan Province (2020SK3013)",Moderate/severe,China,Treatment,Novaferon,30,30,0,*,*,*,*,*,*,0,*,*,*,0,*,*,Some concerns,unblinded,Other,89,LIC_MIC,,,,,,,,,,,,,add_delete
13_preprint,13,3,ChiCTR2000029496,No,https://www.medrxiv.org/content/10.1101/2020.04.24.20077735v1,*,Zheng F,medRxiv,2020,preprint,4/29/2020,Unblinded,2/1/2020,Single,Public/non profit ,"National Science and Technology Major Project (2017ZX10202201, 2017ZX10202203), the National Key Research and Development Program of China (Nos. 2016YFD0500301), and Specialized Science and Technology Project of Hunan Province (2020SK3013)",Moderate/severe,China,Control,Lopinavir-Ritonavir,29,29,0,*,*,*,*,*,*,0,*,*,*,0,*,*,Some concerns,unblinded,Other,89,LIC_MIC,,,,,,,,,,,,,add_delete
13_pub,13,3,ChiCTR2000029496,No,https://www.ijidonline.com/article/S1201-9712(20)30597-X/fulltext,*,Zheng F,Int J Infect Dis,2020,published paper,8/2/2020,Unblinded,2/1/2020,Single,Public/non profit,"National Science and Technology Major Project (2017ZX10202201, 2017ZX10202203), the National Key Research and Development Program of China (Nos. 2016YFD0500301), and Specialized Science and Technology Project of Hunan Province (2020SK3013)",Moderate/Severe,China,Treatment,Novaferon+LPV/r,30,30,0,*,9,*,*,*,*,0,*,9,25,0,*,*,Some concerns,unblinded,Other,89,LIC_MIC,,,,,,,,,,,,,add_delete
13_pub,13,3,ChiCTR2000029496,No,https://www.ijidonline.com/article/S1201-9712(20)30597-X/fulltext,*,Zheng F,Int J Infect Dis,2020,published paper,8/2/2020,Unblinded,2/1/2020,Single,Public/non profit,"National Science and Technology Major Project (2017ZX10202201, 2017ZX10202203), the National Key Research and Development Program of China (Nos. 2016YFD0500301), and Specialized Science and Technology Project of Hunan Province (2020SK3013)",Moderate/Severe,China,Treatment,Novaferon,30,30,0,*,9,*,*,*,*,0,*,9,25,0,*,*,Some concerns,unblinded,Other,89,LIC_MIC,,,,,,,,,,,,,add_delete
13_pub,13,3,ChiCTR2000029496,No,https://www.ijidonline.com/article/S1201-9712(20)30597-X/fulltext,*,Zheng F,Int J Infect Dis,2020,published paper,8/2/2020,Unblinded,2/1/2020,Single,Public/non profit,"National Science and Technology Major Project (2017ZX10202201, 2017ZX10202203), the National Key Research and Development Program of China (Nos. 2016YFD0500301), and Specialized Science and Technology Project of Hunan Province (2020SK3013)",Moderate/Severe,China,Control,Lopinavir-Ritonavir,29,29,0,*,9,*,*,*,*,0,*,9,26,0,*,*,Some concerns,unblinded,Other,89,LIC_MIC,,,,,,,,,,,,,add_delete
15_preprint,15,3,ChiCTR2000029544,Yes,https://www.medrxiv.org/content/10.1101/2020.04.29.20085761v1,*,Lou Y,medRxiv,2020,preprint,5/5/2020,Unblinded,2/3/2020,Single,Public/non profit ,supported by Zhejiang Provincial Science and technology department key R & D plan emergency project (No. 2020c03123-8),Unclear severity,China,Treatment,Favipiravir,10,9,0,*,*,"""Clinical improvement was defined as a decline of two categories on the modified seven-category ordinal scale of clinical status. or hospital
discharge. The seven-category ordinal scale consisted of the following categories: 1. not hospitalized with ",5,*,*,0,*,*,*,*,*,*,Some concerns,unblinded,Other,30,LIC_MIC,,,,,,,,,,,,,consistent
15_preprint,15,3,ChiCTR2000029544,Yes,https://www.medrxiv.org/content/10.1101/2020.04.29.20085761v1,*,Lou Y,medRxiv,2020,preprint,5/5/2020,Unblinded,2/3/2020,Single,Public/non profit ,supported by Zhejiang Provincial Science and technology department key R & D plan emergency project (No. 2020c03123-8),Unclear severity,China,Treatment,Baloxavir marboxil,10,10,0,*,*,"""Clinical improvement was defined as a decline of two categories on the modified seven-category ordinal scale of clinical status. or hospital
discharge. The seven-category ordinal scale consisted of the following categories: 1. not hospitalized with ",6,*,*,1,*,*,*,*,*,*,Some concerns,unblinded,Other,30,LIC_MIC,,,,,,,,,,,,,consistent
15_preprint,15,3,ChiCTR2000029544,Yes,https://www.medrxiv.org/content/10.1101/2020.04.29.20085761v1,*,Lou Y,medRxiv,2020,preprint,5/5/2020,Unblinded,2/3/2020,Single,Public/non profit ,supported by Zhejiang Provincial Science and technology department key R & D plan emergency project (No. 2020c03123-8),Unclear severity,China,Control,Standard care,10,10,0,*,*,"""Clinical improvement was defined as a decline of two categories on the modified seven-category ordinal scale of clinical status. or hospital
discharge. The seven-category ordinal scale consisted of the following categories: 1. not hospitalized with ",5,*,*,0,*,*,*,*,*,*,Some concerns,unblinded,Other,30,LIC_MIC,,,,,,,,,,,,,consistent
15_pub,15,3,ChiCTR2000029544,Yes,https://www.sciencedirect.com/science/article/pii/S092809872030419X?via%3Dihub,*,Lou Y,Eur J Pharm Sci,2020,published paper,10/25/2020,Unblinded,2/3/2020,Single,Public/non profit,Zhejiang Provincial Science and technology department key R & D plan emergency project,Unclear severity,China,Treatment,Favipiravir,10,9,0,*,14,Clinical improvement was defined as a decline of two categories on the modified seven-category ordinal scale of clinical status. or hospital discharge,5,*,14,0,*,14,*,*,*,*,Some concerns,unblinded,Other,30,LIC_MIC,,,,,,,,,,,,,consistent
15_pub,15,3,ChiCTR2000029544,Yes,https://www.sciencedirect.com/science/article/pii/S092809872030419X?via%3Dihub,*,Lou Y,Eur J Pharm Sci,2020,published paper,10/25/2020,Unblinded,2/3/2020,Single,Public/non profit,Zhejiang Provincial Science and technology department key R & D plan emergency project,Unclear severity,China,Treatment,Baloxavir marboxil,10,10,0,*,14,Clinical improvement was defined as a decline of two categories on the modified seven-category ordinal scale of clinical status. or hospital discharge,6,*,14,1,*,14,*,*,*,*,Some concerns,unblinded,Other,30,LIC_MIC,,,,,,,,,,,,,consistent
15_pub,15,3,ChiCTR2000029544,Yes,https://www.sciencedirect.com/science/article/pii/S092809872030419X?via%3Dihub,*,Lou Y,Eur J Pharm Sci,2020,published paper,10/25/2020,Unblinded,2/3/2020,Single,Public/non profit,Zhejiang Provincial Science and technology department key R & D plan emergency project,Unclear severity,China,Control,Standard care,10,10,0,*,14,Clinical improvement was defined as a decline of two categories on the modified seven-category ordinal scale of clinical status. or hospital discharge,5,*,14,0,*,14,*,*,*,*,Some concerns,unblinded,Other,30,LIC_MIC,,,,,,,,,,,,,consistent
25_preprint,25,2,IRCT20100228003449N2,No,https://www.medrxiv.org/content/10.1101/2020.05.28.20116467v1,*,Davoudi-Monfared E,medRxiv,2020,preprint,5/30/2020,Unblinded,2/29/2020,Single,Private,"Funding: The authors did not receive any fund for this work. ReciGen was a generous gift from
CinnaGen Co. ",Moderate to critical,Iran,Treatment,IFN beta-1a,46,42,8,*,*,Clinical response was defined according to the six-category ordinal scale. This scale classifies patients in six categories according to the severity of the viral pneumonia. The six categories are: (1) discharge (2) hospital admission. not requiring ,*,*,*,8,*,*,*,*,*,*,High,unblinded,Industry_Mixed,92,LIC_MIC,,,,,,,,,,,,,consistent
25_preprint,25,2,IRCT20100228003449N2,No,https://www.medrxiv.org/content/10.1101/2020.05.28.20116467v1,*,Davoudi-Monfared E,medRxiv,2020,preprint,5/30/2020,Unblinded,2/29/2020,Single,Private,"Funding: The authors did not receive any fund for this work. ReciGen was a generous gift from
CinnaGen Co. ",Moderate to critical,Iran,Control,Standard care,46,39,17,*,*,Clinical response was defined according to the six-category ordinal scale. This scale classifies patients in six categories according to the severity of the viral pneumonia. The six categories are: (1) discharge (2) hospital admission. not requiring ,*,*,*,16,*,*,*,*,*,*,High,unblinded,Industry_Mixed,92,LIC_MIC,,,,,,,,,,,,,consistent
25_pub,25,1,IRCT20100228003449N28,No,https://aac.asm.org/content/aac/early/2020/07/08/AAC.01061-20.full.pdf,*,Davoudi-Monfared E,Antimicrob Agents Ch,2020,published paper,7/13/2020,Unblinded,2/29/2020,Single,Private,No funding; CinnaGen Co. (drug donation),Moderate to critical,Iran,Treatment,IFN beta-1a,46,42,8,*,28,At least two scores improvement in the six-category ordinal scale or patient���s discharge,*,*,*,8,*,28,*,*,*,*,High,unblinded,Industry_Mixed,92,LIC_MIC,,,,,,,,,,,,,consistent
25_pub,25,2,IRCT20100228003449N28,No,https://aac.asm.org/content/aac/early/2020/07/08/AAC.01061-20.full.pdf,*,Davoudi-Monfared E,Antimicrob Agents Ch,2020,published paper,7/13/2020,Unblinded,2/29/2020,Single,Private,No funding; CinnaGen Co. (drug donation),Moderate to critical,Iran,Control,Standard care,46,39,17,*,28,At least two scores improvement in the six-category ordinal scale or patient���s discharge,*,*,*,16,*,28,*,*,*,*,High,unblinded,Industry_Mixed,92,LIC_MIC,,,,,,,,,,,,,consistent
34_preprint,34,2,NCT04381936,No,https://www.medrxiv.org/content/10.1101/2020.06.22.20137273v1,*,Horby P,medRxiv,2020,preprint,6/22/2020,Unblinded,3/19/2020,Multicenter,Public/non profit ,The RECOVERY trial is supported by a grant to the University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR) (Grant reference: MC_PC_19056) and by core funding provided by NIHR Oxford Biomedical Research Centre,Mild to critical,UK ,Treatment,Dexamethasone,2104,2104,454,*,*,Discharged from hospital within 28 days    ,1360,*,*,*,*,*,*,*,*,*,Some concerns,unblinded,Other,6425,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
34_preprint,34,2,NCT04381936,No,https://www.medrxiv.org/content/10.1101/2020.06.22.20137273v1,*,Horby P,medRxiv,2020,preprint,6/22/2020,Unblinded,3/19/2020,Multicenter,Public/non profit ,The RECOVERY trial is supported by a grant to the University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR) (Grant reference: MC_PC_19056) and by core funding provided by NIHR Oxford Biomedical Research Centre,Mild to critical,UK ,Control,Standard care,4321,4321,1065,*,*,Discharged from hospital within 28 days    ,2639,*,*,*,*,*,*,*,*,*,Some concerns,unblinded,Other,6425,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
34_pub,34,1,NCT04381936,No,https://www.nejm.org/doi/full/10.1056/NEJMoa2021436?query=featured_coronavirus,RECOVERY (Dex),Horby P,N Engl J Med,2021,published paper,2/25/2021,Unblinded,3/19/2020,Multicenter,Mixed,University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR); NIHR Oxford Biomedical Research Centre; Wellcome; Bill and Melinda Gates Foundation; Department for International Development; Health Data Research UK,Mild to critical,UK ,Treatment,Dexamethasone,2104,2104,482,*,28,Discharged from hospital within 28 days    ,1413,*,28,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,6425,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
34_pub,34,2,NCT04381936,No,https://www.nejm.org/doi/full/10.1056/NEJMoa2021436?query=featured_coronavirus,RECOVERY (Dex),Horby P,N Engl J Med,2021,published paper,2/25/2021,Unblinded,3/19/2020,Multicenter,Mixed,University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR); NIHR Oxford Biomedical Research Centre; Wellcome; Bill and Melinda Gates Foundation; Department for International Development; Health Data Research UK,Mild to critical,UK ,Control,Standard care,4321,4321,1110,*,28,Discharged from hospital within 28 days    ,2745,*,28,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,6425,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
45_preprint,45,2,NCT04342182,No,https://www.medrxiv.org/content/10.1101/2020.07.01.20139857v1.full.pdf,*,Gharbharan A,medRxiv,2020,preprint,7/3/2020,Unblinded,4/8/2020,Multicenter,Mixed,"The Erasmusfoundation, Ypsilon",Moderate to critical,Netherlands,Treatment,Convalescent plasma,43,43,6,*,*,Improvement on the 8-point WHO COVID-19 disease severity scale from inclusion to day 15,25,*,*,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,86,HIC,,,,,,,,,,,,,add_delete
45_preprint,45,2,NCT04342182,No,https://www.medrxiv.org/content/10.1101/2020.07.01.20139857v1.full.pdf,*,Gharbharan A,medRxiv,2020,preprint,7/3/2020,Unblinded,4/8/2020,Multicenter,Mixed,"The Erasmusfoundation, Ypsilon",Moderate to critical,Netherlands,Control,Standard care,43,43,11,*,*,Improvement on the 8-point WHO COVID-19 disease severity scale from inclusion to day 15,25,*,*,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,86,HIC,,,,,,,,,,,,,add_delete
45_pub,45,1,NCT04342182,No,https://www.nature.com/articles/s41467-021-23469-2,*,Gharbharan A,Nat Commun,2021,published paper,5/27/2021,Unblinded,4/8/2020,Multicenter,Mixed,"The Erasmusfoundation, Ypsilo and Health Holland",Moderate to critical,Netherlands,Treatment,Convalescent plasma,43,43,*,*,*,"Improvement on the eight-point WHO COVID-19 disease severity scale on day 15
and day 30",25,*,15,*,*,*,*,*,*,15,Some concerns,unblinded,Industry_Mixed,86,HIC,,,,,,,,,,,,,add_delete
45_pub,45,2,NCT04342182,No,https://www.nature.com/articles/s41467-021-23469-2,*,Gharbharan A,Nat Commun,2021,published paper,5/27/2021,Unblinded,4/8/2020,Multicenter,Mixed,"The Erasmusfoundation, Ypsilo and Health Holland",Moderate to critical,Netherlands,Control,Standard care,43,43,*,*,*,"Improvement on the eight-point WHO COVID-19 disease severity scale on day 15
and day 30",25,*,15,*,*,*,*,*,*,15,Some concerns,unblinded,Industry_Mixed,86,HIC,,,,,,,,,,,,,add_delete
48_preprint,48,2,NCT04381936,No,https://www.medrxiv.org/content/10.1101/2020.07.15.20151852v1,*,Horby P,medRxiv,2020,preprint,7/15/2020,Unblinded,3/25/2020,Multicenter,Mixed,University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR); NIHR Oxford Biomedical Research Centre; Wellcome; Bill and Melinda Gates Foundation; Department for International Development; Health Data Research UK,Mild to Critical,UK,Treatment,Hydroxychloroquine,1561,1561,418,*,*,Discharged from hospital within 28 days    ,941,*,*,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,4716,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
48_preprint,48,2,NCT04381936,No,https://www.medrxiv.org/content/10.1101/2020.07.15.20151852v1,*,Horby P,medRxiv,2020,preprint,7/15/2020,Unblinded,3/25/2020,Multicenter,Mixed,University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR); NIHR Oxford Biomedical Research Centre; Wellcome; Bill and Melinda Gates Foundation; Department for International Development; Health Data Research UK,Mild to Critical,UK,Control,Standard care,3155,3155,788,*,*,Discharged from hospital within 28 days    ,1982,*,*,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,4716,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
48_pub,48,1,NCT04381936,No,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2022926?articleTools=true,RECOVERY (HCQ),Horby P,N Engl J Med,2020,published paper,10/8/2020,Unblinded,3/25/2020,Multicenter,Mixed,University of Oxford from UK Research and Innovation/National Institute for Health Research (NIHR); NIHR Oxford Biomedical Research Centre; Wellcome; Bill and Melinda Gates Foundation; Department for International Development; Health Data Research UK,Mild to critical,UK,Treatment,Hydroxychloroquine,1561,1561,421,*,28,Discharged from hospital within 28 days    ,931,*,28,*,*,*,*,*,*,*,Some concerns,unblinded,Industry_Mixed,4716,HIC,,N,N,,,,N,,N,N,N,"mort, CI",exclude_diffanalysis
